"Year","Plot","Tag","Taxon","X..cm.","Y..cm.","Tag.offset.x","Tag.offset.y","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Died.this.census.final","Length..cm..prev","Growth","Survival","Is.recruit"
2016,"46","1464*A","Lupinus argenteus",117,22,-10,-10,3,4.5,0,0,0,3.5,-0.5,1,0
2017,"46","1464*A","Lupinus argenteus",117,22,-10,-10,0,0,0,0,1,3,-3,0,0
2015,"46","1465*A","Ivesia gordonii",117.757709193509,21.199759316165,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*B","Ivesia gordonii",109.015031987336,24.2136851991527,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*C","Ivesia gordonii",115.615098538809,16.429208308924,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*D","Ivesia gordonii",113.899563946296,25.8164338781498,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*E","Ivesia gordonii",113.048373194877,20.9167577829212,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*F","Ivesia gordonii",117.58766695112,24.5153469350189,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*G","Ivesia gordonii",109.592547895852,20.9970256187953,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*H","Ivesia gordonii",115.159000872634,22.4088250161149,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*I","Ivesia gordonii",117.901022370905,18.1414563758299,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*J","Ivesia gordonii",113.744520814624,18.2977052698843,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*K","Ivesia gordonii",117.520505059045,24.5003964579664,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*L","Ivesia gordonii",117.374469611794,18.3760702344589,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1465*M","Ivesia gordonii",109.961490635294,24.8248904957436,-10,-10,1,1,0,1,0,NA,NA,1,1
2016,"46","1465*A","Ivesia gordonii",114.955925110262,24.3465329115279,-10,-10,3,3,0,0,0,1,2,1,0
2016,"46","1465*B","Ivesia gordonii",109.050781418802,25.5433278537821,-10,-10,3,3,0,0,1,1,2,0,0
2016,"46","1465*C","Ivesia gordonii",115.996835785219,17.870472705923,-10,-10,3,3,0,0,1,1,2,0,0
2016,"46","1465*D","Ivesia gordonii",113.175384723581,21.0649871735368,-10,-10,3,3,0,0,1,1,2,0,0
2016,"46","1465*E","Ivesia gordonii",117.874826074578,25.1055592272896,-10,-10,3,3,0,0,1,1,2,0,0
2016,"46","1465*F","Ivesia gordonii",112.66495454777,23.565508112777,-10,-10,3,3,0,0,1,1,2,0,0
2016,"46","1465*G","Ivesia gordonii",112.387675313046,25.8965836805291,-10,-10,3,3,0,0,1,1,2,0,0
2016,"46","1465*H","Ivesia gordonii",111.290995672578,21.6386910749134,-10,-10,3,3,0,0,1,1,2,0,0
2016,"46","1465*I","Ivesia gordonii",116.611399102956,21.6119998514187,-10,-10,3,3,0,0,1,1,2,0,0
2016,"46","1465*J","Ivesia gordonii",113.191392354434,18.6280131344683,-10,-10,3,3,0,0,1,1,2,0,0
2016,"46","1465*K","Ivesia gordonii",116.245859180111,25.3754648494069,-10,-10,3,3,0,0,1,1,2,0,0
2016,"46","1465*L","Ivesia gordonii",115.952123689931,20.3193280969281,-10,-10,3,3,0,0,1,1,2,0,0
2016,"46","1465*M","Ivesia gordonii",117.269580208231,17.315875088796,-10,-10,3,3,0,0,1,1,2,0,0
2017,"46","1465*A","Ivesia gordonii",118,26,-10,-10,0,0,0,0,1,3,-3,0,0
2015,"46","1466*A","Lupinus argenteus",109,30,-10,-10,2.5,2.5,0,1,0,NA,NA,1,1
2016,"46","1466*A","Lupinus argenteus",109,30,-10,-10,2,3,0,0,0,2.5,-0.5,1,0
2017,"46","1466*A","Lupinus argenteus",109,30,-10,-10,0,0,0,0,1,2,-2,0,0
2015,"46","1467*A","Lupinus argenteus",98,52,-10,-10,4,3,0,1,0,NA,NA,1,1
2016,"46","1467*A","Lupinus argenteus",98,52,-10,-10,1,2.5,0,0,0,4,-3,1,0
2017,"46","1467*A","Lupinus argenteus",98,52,-10,-10,0,0,0,0,1,1,-1,0,0
2015,"46","1468*A","Lupinus argenteus",98,49,-10,-10,3,3.5,0,1,0,NA,NA,1,1
2016,"46","1468*A","Lupinus argenteus",98,49,-10,-10,1,2,0,0,0,3,-2,1,0
2017,"46","1468*A","Lupinus argenteus",98,49,-10,-10,0,0,0,0,1,1,-1,0,0
2015,"46","1469*A","Lupinus argenteus",102,49,-10,-10,3,3,0,1,0,NA,NA,1,1
2016,"46","1469*A","Lupinus argenteus",102,49,-10,-10,0,0,0,0,1,3,-3,0,0
2014,"14","147*A","Lupinus argenteus",80,10,-10,-10,5,4,0,0,0,NA,NA,1,NA
2015,"14","147*A","Lupinus argenteus",80,10,-10,-10,7,5.5,0,0,0,5,2,1,0
2016,"14","147*A","Lupinus argenteus",80,10,-10,-10,4,4,0,0,0,7,-3,1,0
2017,"14","147*A","Lupinus argenteus",80,10,-10,-10,0,0,0,0,1,4,-4,0,0
2015,"46","1470*A","Lupinus argenteus",97,42,-10,-10,4,3.5,0,1,0,NA,NA,1,1
2016,"46","1470*A","Lupinus argenteus",97,42,-10,-10,3,3.5,0,0,0,4,-1,1,0
2017,"46","1470*A","Lupinus argenteus",97,42,-10,-10,0,0,0,0,1,3,-3,0,0
2015,"46","1471*A","Senecio crassulus",128,40,-10,-10,1,2,0,1,0,NA,NA,1,1
2016,"46","1471*A","Senecio crassulus",128,40,-10,-10,2.5,3.5,0,0,0,1,1.5,1,0
2017,"46","1471*A","Senecio crassulus",128,40,-10,-10,8,6,0,0,0,2.5,5.5,1,0
2018,"46","1471*A","Senecio crassulus",128,40,-10,-10,2,4,0,0,0,8,-6,1,0
2019,"46","1471*A","Senecio crassulus",128,40,-10,-10,0,0,0,0,1,2,-2,0,0
2015,"46","1472*A","Heterotheca villosa",78,49,-10,-10,0.2,0.2,0,1,0,NA,NA,1,1
2016,"46","1472*A","Heterotheca villosa",78,49,-10,-10,0,0,0,0,1,0.2,-0.2,0,0
2015,"46","1473*A","Arenaria congesta",88,32,-10,-10,0.6,1.5,0,1,0,NA,NA,1,1
2016,"46","1473*A","Arenaria congesta",88,32,-10,-10,2.5,2.5,0,0,0,0.6,1.9,1,0
2017,"46","1473*A","Arenaria congesta",88,32,-10,-10,4,2,0,0,0,2.5,1.5,1,0
2018,"46","1473*A","Arenaria congesta",88,32,-10,-10,4,3.5,4,0,0,4,0,1,0
2019,"46","1473*A","Arenaria congesta",88,32,-10,-10,3,4,0,0,0,4,-1,1,0
2020,"46","1473*A","Arenaria congesta",88,32,-10,-10,4.5,3.5,0,0,0,3,1.5,1,0
2021,"46","1473*A","Arenaria congesta",88,32,-10,-10,0,0,0,0,1,4.5,-4.5,0,0
2014,"46","1474*A","Lupinus argenteus",103,0,-10,-10,4,4,0,0,0,NA,NA,1,NA
2015,"46","1474*A","Lupinus argenteus",103,0,-10,-10,4,4,0,0,0,4,0,1,0
2016,"46","1474*A","Lupinus argenteus",103,0,-10,-10,0,0,0,0,1,4,-4,0,0
2015,"46","1475*A","Eriogonum umbellatum",66.7436600129586,22.0592664312571,-10,-10,1,0.5,0,1,0,NA,NA,1,1
2015,"46","1475*B","Eriogonum umbellatum",66.4329744828865,22.9726031802129,-10,-10,1,0.5,0,1,1,NA,NA,0,1
2015,"46","1475*C","Eriogonum umbellatum",66.1194797561038,22.579353334615,-10,-10,1,0.5,0,1,1,NA,NA,0,1
2016,"46","1475*A","Eriogonum umbellatum",67,23,-10,-10,1,1,0,0,0,1,0,1,0
2017,"46","1475*A","Eriogonum umbellatum",67,23,-10,-10,1,1,0,0,0,1,0,1,0
2018,"46","1475*A","Eriogonum umbellatum",67,23,-10,-10,0,0,0,0,1,1,-1,0,0
2015,"46","1476*A","Eriogonum umbellatum",54,12.5,-10,-10,0.8,0.6,0,1,0,NA,NA,1,1
2016,"46","1476*A","Eriogonum umbellatum",54,12.5,-10,-10,1,1,0,0,0,0.8,0.2,1,0
2017,"46","1476*A","Eriogonum umbellatum",54,12.5,-10,-10,0,0,0,0,1,1,-1,0,0
2014,"46","1477*A","Phacelia hastata",125,46,-10,-10,7,3,0,0,0,NA,NA,1,NA
2015,"46","1477*A","Phacelia hastata",125,46,-10,-10,7,3,0,0,0,7,0,1,0
2016,"46","1477*A","Phacelia hastata",125,46,-10,-10,8,5,3,0,0,7,1,1,0
2017,"46","1477*A","Phacelia hastata",125,46,-10,-10,9,4,2,0,0,8,1,1,0
2018,"46","1477*A","Phacelia hastata",125,46,-10,-10,3.5,3.5,0,0,0,9,-5.5,1,0
2019,"46","1477*A","Phacelia hastata",125,46,-10,-10,7,4.5,1,0,0,3.5,3.5,1,0
2020,"46","1477*A","Phacelia hastata",125,46,-10,-10,10,6,2,0,0,7,3,1,0
2021,"46","1477*A","Phacelia hastata",125,46,-10,-10,0,0,0,0,1,10,-10,0,0
2015,"46","1478*A","Ivesia gordonii",121.164465775597,31.8942629913799,-2,-5,1,1,0,1,0,NA,NA,1,1
2015,"46","1478*B","Ivesia gordonii",123.716137344949,31.2240287103923,-2,-5,1,1,0,1,0,NA,NA,1,1
2015,"46","1478*C","Ivesia gordonii",124.53251249867,28.6735261619324,-2,-5,1,1,0,1,0,NA,NA,1,1
2015,"46","1478*D","Ivesia gordonii",121.646090438939,29.542293650331,-2,-5,1,1,0,1,0,NA,NA,1,1
2015,"46","1478*E","Ivesia gordonii",124.94619685167,31.9115345975151,-2,-5,1,1,0,1,0,NA,NA,1,1
2016,"46","1478*A","Ivesia gordonii",123.558461040724,31.9196417555213,-2,-5,2,2,0,0,0,1,1,1,0
2016,"46","1478*B","Ivesia gordonii",124.806700282497,29.0848024552688,-2,-5,2,2,0,0,0,1,1,1,0
2016,"46","1478*C","Ivesia gordonii",123.677542973077,30.2728419443592,-2,-5,2,2,0,0,1,1,1,0,0
2016,"46","1478*D","Ivesia gordonii",122.469004171435,31.3834808839019,-2,-5,2,2,0,0,1,1,1,0,0
2016,"46","1478*E","Ivesia gordonii",124.946150787873,30.2940056910738,-2,-5,2,2,0,0,1,1,1,0,0
2017,"46","1478*A","Ivesia gordonii",125,32,-2,-5,5,2,0,0,0,2,3,1,0
2018,"46","1478*A","Ivesia gordonii",124.592409871635,26.868785583647,-2,-5,10,5,2,0,0,5,5,1,0
2018,"46","1478*B","Ivesia gordonii",121.327452392317,31.507247399888,-2,-5,10,5,1,0,0,2,8,1,0
2019,"46","1478*A","Ivesia gordonii",122.155434751417,24.4131235858076,-2,-5,14,6.5,0,0,0,10,4,1,0
2019,"46","1478*B","Ivesia gordonii",118.938812699169,31.5840413850383,-2,-5,14,6.5,0,0,1,10,4,0,0
2020,"46","1478*A","Ivesia gordonii",125,32,-2,-5,17,5.5,4,0,0,14,3,1,0
2021,"46","1478*A","Ivesia gordonii",125,32,-2,-5,0,0,0,0,1,17,-17,0,0
2015,"46","1479*A","Arenaria congesta",147,5,-10,-10,1,1,0,1,0,NA,NA,1,1
2016,"46","1479*A","Arenaria congesta",147,5,-10,-10,1.5,1,0,0,0,1,0.5,1,0
2017,"46","1479*A","Arenaria congesta",147,5,-10,-10,2,1,0,0,0,1.5,0.5,1,0
2018,"46","1479*A","Arenaria congesta",147,5,-10,-10,1,0.5,0,0,0,2,-1,1,0
2019,"46","1479*A","Arenaria congesta",147,5,-10,-10,0,0,0,0,1,1,-1,0,0
2014,"14","148*A","Heterotheca villosa",85,75,-10,-10,60,10,50,0,0,NA,NA,1,NA
2015,"14","148*A","Heterotheca villosa",85,75,-10,-10,59,4,18,0,0,60,-1,1,0
2016,"14","148*A","Heterotheca villosa",85,75,-10,-10,55.7,5,0,0,0,59,-3.3,1,0
2017,"14","148*A","Heterotheca villosa",85,75,-10,-10,54,4,0,0,0,55.7,-1.7,1,0
2018,"14","148*A","Heterotheca villosa",85,75,-10,-10,0,0,0,0,1,54,-54,0,0
2015,"46","1480*A","Ivesia gordonii",136,19,-10,-10,0.6,0.8,0,1,0,NA,NA,1,1
2016,"46","1480*A","Ivesia gordonii",136,19,-10,-10,2.5,3,0,0,0,0.6,1.9,1,0
2017,"46","1480*A","Ivesia gordonii",136,19,-10,-10,0,0,0,0,1,2.5,-2.5,0,0
2015,"46","1481*A","Senecio crassulus",129,19,-10,-10,0.6,2.5,0,1,0,NA,NA,1,1
2016,"46","1481*A","Senecio crassulus",129,19,-10,-10,3,4,0,0,0,0.6,2.4,1,0
2017,"46","1481*A","Senecio crassulus",129,19,-10,-10,4,7,0,0,0,3,1,1,0
2018,"46","1481*A","Senecio crassulus",129,19,-10,-10,8,8.5,0,0,0,4,4,1,0
2019,"46","1481*A","Senecio crassulus",129,19,-10,-10,12,11,0,0,0,8,4,1,0
2020,"46","1481*A","Senecio crassulus",129,19,-10,-10,17.5,13,0,0,0,12,5.5,1,0
2021,"46","1481*A","Senecio crassulus",129,19,-10,-10,19,11,0,0,0,17.5,1.5,1,0
2022,"46","1481*A","Senecio crassulus",129,19,-10,-10,26.5,23,17,0,0,19,7.5,1,0
2015,"46","1482*A","Ivesia gordonii",153,13,-10,-10,1,1,0,1,0,NA,NA,1,1
2016,"46","1482*A","Ivesia gordonii",153,13,-10,-10,2.5,2,0,0,0,1,1.5,1,0
2017,"46","1482*A","Ivesia gordonii",153,13,-10,-10,2,2,0,0,0,2.5,-0.5,1,0
2018,"46","1482*A","Ivesia gordonii",153,13,-10,-10,0,0,0,0,1,2,-2,0,0
2015,"46","1483*A","Agoseris glauca",145,11,-10,-10,1,1,0,1,0,NA,NA,1,1
2016,"46","1483*A","Agoseris glauca",145,11,-10,-10,3.5,5.5,0,0,0,1,2.5,1,0
2017,"46","1483*A","Agoseris glauca",145,11,-10,-10,16,7,5,0,0,3.5,12.5,1,0
2018,"46","1483*A","Agoseris glauca",145,11,-10,-10,11,5.5,8,0,0,16,-5,1,0
2019,"46","1483*A","Agoseris glauca",145,11,-10,-10,17.5,5.5,7,0,0,11,6.5,1,0
2020,"46","1483*A","Agoseris glauca",145,11,-10,-10,10.5,4,3,0,0,17.5,-7,1,0
2021,"46","1483*A","Agoseris glauca",145,11,-10,-10,0,0,0,0,1,10.5,-10.5,0,0
2015,"46","1484*A","Arenaria congesta",157.282029906055,5.27450805227272,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1484*B","Arenaria congesta",159.767954322742,2.62848444795236,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1484*C","Arenaria congesta",159.269782459596,5.7118105229456,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1484*D","Arenaria congesta",157.036242263857,3.17818848579191,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1484*E","Arenaria congesta",157.722815898014,6.62320551043376,-10,-10,1,1,0,1,1,NA,NA,0,1
2015,"46","1484*F","Arenaria congesta",155.332030155696,6.70256992033683,-10,-10,1,1,0,1,1,NA,NA,0,1
2016,"46","1484*A","Arenaria congesta",159.889088367927,2.89576678921003,-10,-10,2,3,0,0,0,1,1,1,0
2016,"46","1484*B","Arenaria congesta",159.096744028968,5.85140951280482,-10,-10,2,3,0,0,1,1,1,0,0
2016,"46","1484*C","Arenaria congesta",155.688705418608,6.32034402189311,-10,-10,2,3,0,0,1,1,1,0,0
2016,"46","1484*D","Arenaria congesta",156.441593053751,4.87847715592943,-10,-10,2,3,0,0,1,1,1,0,0
2017,"46","1484*A","Arenaria congesta",160,7,-10,-10,0,0,0,0,1,2,-2,0,0
2015,"46","1485*A","Ivesia gordonii",172,8,-10,-10,0.8,0.8,0,1,0,NA,NA,1,1
2016,"46","1485*A","Ivesia gordonii",172,8,-10,-10,2.5,2,0,0,0,0.8,1.7,1,0
2017,"46","1485*A","Ivesia gordonii",172,8,-10,-10,0,0,0,0,1,2.5,-2.5,0,0
2015,"46","1486*A","Lupinus argenteus",163.261820624582,17.7619127305225,-10,-10,3,2,0,1,0,NA,NA,1,1
2015,"46","1486*B","Lupinus argenteus",164.593072736636,17.8061040565372,-10,-10,3,2,0,1,1,NA,NA,0,1
2016,"46","1486*A","Lupinus argenteus",165,18,-10,-10,0,0,0,0,1,3,-3,0,0
2015,"46","1487*A","Ivesia gordonii",148,33,-10,-10,1.2,0.6,0,1,0,NA,NA,1,1
2016,"46","1487*A","Ivesia gordonii",148,33,-10,-10,3,4,0,0,0,1.2,1.8,1,0
2017,"46","1487*A","Ivesia gordonii",148,33,-10,-10,0,0,0,0,1,3,-3,0,0
2015,"46","1488*A","Arenaria congesta",150,34,-10,-10,1,1.1,0,1,0,NA,NA,1,1
2016,"46","1488*A","Arenaria congesta",150,34,-10,-10,3,3,0,0,0,1,2,1,0
2017,"46","1488*A","Arenaria congesta",150,34,-10,-10,0,0,0,0,1,3,-3,0,0
2015,"46","1489*A","Senecio crassulus",142,45,-10,-10,0.8,0.3,0,1,0,NA,NA,1,1
2016,"46","1489*A","Senecio crassulus",142,45,-10,-10,2,4,0,0,0,0.8,1.2,1,0
2017,"46","1489*A","Senecio crassulus",142,45,-10,-10,8,4,0,0,0,2,6,1,0
2018,"46","1489*A","Senecio crassulus",142,45,-10,-10,0,0,0,0,1,8,-8,0,0
2014,"14","149*A","Eriogonum umbellatum",82,55,-10,-10,22,3,1,0,0,NA,NA,1,NA
2015,"14","149*A","Eriogonum umbellatum",82,55,-10,-10,21.5,3.5,5,0,0,22,-0.5,1,0
2016,"14","149*A","Eriogonum umbellatum",82,55,-10,-10,23,4,3,0,0,21.5,1.5,1,0
2017,"14","149*A","Eriogonum umbellatum",82,55,-10,-10,23,2,9,0,0,23,0,1,0
2018,"14","149*A","Eriogonum umbellatum",82,55,-10,-10,24,3.5,9,0,0,23,1,1,0
2019,"14","149*A","Eriogonum umbellatum",82,55,-10,-10,27,2,21,0,0,24,3,1,0
2020,"14","149*A","Eriogonum umbellatum",82,55,-10,-10,26.5,3,11,0,0,27,-0.5,1,0
2021,"14","149*A","Eriogonum umbellatum",82,55,-10,-10,29.5,3.5,10,0,0,26.5,3,1,0
2022,"14","149*A","Eriogonum umbellatum",82,55,-10,-10,30,3.5,14,0,0,29.5,0.5,1,0
2015,"46","1490*A","Senecio crassulus",146.795756685664,43.6116209230386,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1490*B","Senecio crassulus",146.645844876766,44.9786587036215,-10,-10,1,1,0,1,1,NA,NA,0,1
2016,"46","1490*A","Senecio crassulus",147,45,-10,-10,1.5,3,0,0,0,1,0.5,1,0
2017,"46","1490*A","Senecio crassulus",147,45,-10,-10,1,1,0,0,0,1.5,-0.5,1,0
2018,"46","1490*A","Senecio crassulus",147,45,-10,-10,0,0,0,0,1,1,-1,0,0
2015,"46","1491*A","Eriogonum umbellatum",159,42,-10,-10,1.5,1,0,1,0,NA,NA,1,1
2016,"46","1491*A","Eriogonum umbellatum",159,42,-10,-10,1.5,1.5,0,0,0,1.5,0,1,0
2017,"46","1491*A","Eriogonum umbellatum",159,42,-10,-10,1.5,1,0,0,0,1.5,0,1,0
2018,"46","1491*A","Eriogonum umbellatum",159,42,-10,-10,0,0,0,0,1,1.5,-1.5,0,0
2015,"46","1492*A","Eriogonum umbellatum",163,41,-10,-10,1,1,0,1,0,NA,NA,1,1
2016,"46","1492*A","Eriogonum umbellatum",163,41,-10,-10,1,1,0,0,0,1,0,1,0
2017,"46","1492*A","Eriogonum umbellatum",163,41,-10,-10,1,0.5,0,0,0,1,0,1,0
2018,"46","1492*A","Eriogonum umbellatum",163,41,-10,-10,0,0,0,0,1,1,-1,0,0
2015,"46","1493*A","Ivesia gordonii",177,23,-10,-10,0.9,0.9,0,1,0,NA,NA,1,1
2016,"46","1493*A","Ivesia gordonii",177,23,-10,-10,0,0,0,0,1,0.9,-0.9,0,0
2015,"46","1494*A","Ivesia gordonii",166,23,-10,-10,0.6,0.6,0,1,0,NA,NA,1,1
2016,"46","1494*A","Ivesia gordonii",166,23,-10,-10,0,0,0,0,1,0.6,-0.6,0,0
2015,"46","1495*A","Eriogonum umbellatum",180.782830641605,8.2104695312446,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1495*B","Eriogonum umbellatum",188.016327674268,2.35401293856557,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1495*C","Eriogonum umbellatum",187.112208568025,9.57964180782437,-10,-10,1,1,0,1,0,NA,NA,1,1
2015,"46","1495*D","Eriogonum umbellatum",185.197769232676,6.27187980432063,-10,-10,1,1,0,1,1,NA,NA,0,1
2015,"46","1495*E","Eriogonum umbellatum",183.275144097512,8.65654155483935,-10,-10,1,1,0,1,1,NA,NA,0,1
2015,"46","1495*F","Eriogonum umbellatum",188.656992094941,5.53167649230454,-10,-10,1,1,0,1,1,NA,NA,0,1
2015,"46","1495*G","Eriogonum umbellatum",187.966507976642,5.29343956185039,-10,-10,1,1,0,1,1,NA,NA,0,1
2016,"46","1495*A","Eriogonum umbellatum",186.224779448472,9.19828544463962,-10,-10,0.5,0.5,0,0,0,1,-0.5,1,0
2016,"46","1495*B","Eriogonum umbellatum",189.785396505147,7.93887274246663,-10,-10,0.5,0.5,0,0,1,1,-0.5,0,0
2016,"46","1495*C","Eriogonum umbellatum",189.679080873728,8.49729924276471,-10,-10,0.5,0.5,0,0,1,1,-0.5,0,0
2017,"46","1495*A","Eriogonum umbellatum",190,10,-10,-10,0,0,0,0,1,0.5,-0.5,0,0
2015,"46","1496*A","Lupinus argenteus",175,1,-10,-10,2,1,0,1,0,NA,NA,1,1
2016,"46","1496*A","Lupinus argenteus",175,1,-10,-10,1.5,1,0,0,0,2,-0.5,1,0
2017,"46","1496*A","Lupinus argenteus",175,1,-10,-10,0,0,0,0,1,1.5,-1.5,0,0
2015,"46","1497*A","Lupinus argenteus",193,68,-10,-10,4,3,0,1,0,NA,NA,1,1
2016,"46","1497*A","Lupinus argenteus",193,68,-10,-10,0.3,0.5,0,0,0,4,-3.7,1,0
2017,"46","1497*A","Lupinus argenteus",193,68,-10,-10,0,0,0,0,1,0.3,-0.3,0,0
2015,"46","1498*A","Ivesia gordonii",186,15,-10,-10,1,0.5,0,1,0,NA,NA,1,1
2016,"46","1498*A","Ivesia gordonii",186,15,-10,-10,0,0,0,0,1,1,-1,0,0
2015,"46","1499*A","Lupinus argenteus",138,77,-10,-10,4.5,4,0,1,0,NA,NA,1,1
2016,"46","1499*A","Lupinus argenteus",138,77,-10,-10,5,5,0,0,0,4.5,0.5,1,0
2017,"46","1499*A","Lupinus argenteus",138,77,-10,-10,0,0,0,0,1,5,-5,0,0
2014,"1","15*A","Ivesia gordonii",195,144,-10,-10,18,4,3,0,0,NA,NA,1,NA
2015,"1","15*A","Ivesia gordonii",195,144,-10,-10,18,6,23,0,0,18,0,1,0
2016,"1","15*A","Ivesia gordonii",195,144,-10,-10,18.4,6.4,21,0,0,18,0.399999999999999,1,0
2017,"1","15*A","Ivesia gordonii",195,144,-10,-10,0,0,0,0,1,18.4,-18.4,0,0
2014,"14","150*A","Elymus lanceolatus",70,50,-10,-10,6,6,0,0,0,NA,NA,1,NA
2015,"14","150*A","Elymus lanceolatus",70,50,-10,-10,4.5,12.5,0,0,0,6,-1.5,1,0
2016,"14","150*A","Elymus lanceolatus",70,50,-10,-10,10.5,15,0,0,0,4.5,6,1,0
2017,"14","150*A","Elymus lanceolatus",70,50,-10,-10,15,13,0,0,0,10.5,4.5,1,0
2018,"14","150*A","Elymus lanceolatus",70,50,-10,-10,12,15.5,3,0,0,15,-3,1,0
2019,"14","150*A","Elymus lanceolatus",70,50,-10,-10,12.5,17,2,0,0,12,0.5,1,0
2020,"14","150*A","Elymus lanceolatus",70,50,-10,-10,14,12,0,0,0,12.5,1.5,1,0
2021,"14","150*A","Elymus lanceolatus",70,50,-10,-10,14,19,2,0,0,14,0,1,0
2022,"14","150*A","Elymus lanceolatus",70,50,-10,-10,19.5,16.5,0,0,0,14,5.5,1,0
2015,"46","1500*A","Lupinus argenteus",75,43,-10,-10,3,3,0,1,0,NA,NA,1,1
2016,"46","1500*A","Lupinus argenteus",75,43,-10,-10,1,2,0,0,0,3,-2,1,0
2017,"46","1500*A","Lupinus argenteus",75,43,-10,-10,0,0,0,0,1,1,-1,0,0
2015,"46","1501*A","Lupinus argenteus",140,77,-10,-10,4.5,3,0,1,0,NA,NA,1,1
2016,"46","1501*A","Lupinus argenteus",140,77,-10,-10,0,0,0,0,1,4.5,-4.5,0,0
2015,"46","1502*A","Lupinus argenteus",163,90,-10,-10,2.5,2.5,0,1,0,NA,NA,1,1
2016,"46","1502*A","Lupinus argenteus",163,90,-10,-10,4,4,0,0,0,2.5,1.5,1,0
2017,"46","1502*A","Lupinus argenteus",163,90,-10,-10,0,0,0,0,1,4,-4,0,0
2015,"46","1503*A","Senecio crassulus",172,79,-10,-10,0.7,1.5,0,1,0,NA,NA,1,1
2016,"46","1503*A","Senecio crassulus",172,79,-10,-10,1.5,2.5,0,0,0,0.7,0.8,1,0
2017,"46","1503*A","Senecio crassulus",172,79,-10,-10,0,0,0,0,1,1.5,-1.5,0,0
2014,"46","1504*A","Carex siccata",173,85,-10,-10,28,19,2,0,0,NA,NA,1,NA
2015,"46","1504*A","Carex siccata",173,85,-10,-10,28,19,2,0,0,28,0,1,0
2016,"46","1504*A","Carex siccata",173,85,-10,-10,34,20,0,0,0,28,6,1,0
2017,"46","1504*A","Carex siccata",173,85,-10,-10,1.5,0.5,0,0,0,34,-32.5,1,0
2018,"46","1504*A","Carex siccata",173,85,-10,-10,0,0,0,0,1,1.5,-1.5,0,0
2015,"46","1505*A","Arenaria congesta",192,97,-5,-5,0.5,0.5,0,1,0,NA,NA,1,1
2016,"46","1505*A","Arenaria congesta",192,97,-5,-5,2,2.5,0,0,0,0.5,1.5,1,0
2017,"46","1505*A","Arenaria congesta",192,97,-5,-5,9,3,0,0,0,2,7,1,0
2018,"46","1505*A","Arenaria congesta",192,97,-5,-5,5.6,3.5,0,0,0,9,-3.4,1,0
2019,"46","1505*A","Arenaria congesta",192,97,-5,-5,14,10.5,18,0,1,5.6,8.4,0,0
2015,"46","1506*A","Lupinus argenteus",193,100,-10,-10,3,3,0,1,0,NA,NA,1,1
2016,"46","1506*A","Lupinus argenteus",193,100,-10,-10,7,6,0,0,0,3,4,1,0
2017,"46","1506*A","Lupinus argenteus",193,100,-10,-10,9,6,0,0,0,7,2,1,0
2018,"46","1506*A","Lupinus argenteus",193,100,-10,-10,0,0,0,0,1,9,-9,0,0
2015,"46","1507*A","Arenaria congesta",183,92,-5,0,0.6,0.6,0,1,0,NA,NA,1,1
2016,"46","1507*A","Arenaria congesta",183,92,-5,0,2,2,0,0,0,0.6,1.4,1,0
2017,"46","1507*A","Arenaria congesta",183,92,-5,0,7,4,0,0,0,2,5,1,0
2018,"46","1507*A","Arenaria congesta",183,92,-5,0,5.5,2,0,0,0,7,-1.5,1,0
2019,"46","1507*A","Arenaria congesta",183,92,-5,0,14.5,8,7,0,0,5.5,9,1,0
2020,"46","1507*A","Arenaria congesta",183,92,-5,0,13,10,10,0,0,14.5,-1.5,1,0
2021,"46","1507*A","Arenaria congesta",183,92,-5,0,14.5,6.5,5,0,0,13,1.5,1,0
2022,"46","1507*A","Arenaria congesta",183,92,-5,0,16,10.5,50,0,0,14.5,1.5,1,0
2015,"46","1508*A","Chaenactis douglasii",180,100,-10,-10,0.7,1,0,1,0,NA,NA,1,1
2016,"46","1508*A","Chaenactis douglasii",180,100,-10,-10,0,0,0,0,1,0.7,-0.7,0,0
2015,"46","1509*A","Phacelia hastata",170,110,-10,-10,0.6,0.5,0,1,0,NA,NA,1,1
