iter,ll,accept,sd,spp,foc_sp,nei_sp
5,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Ivesia gordonii
5,-1574.9095507221425,0,0,0,Heterotheca villosa,Ivesia gordonii
5,-1574.9095507221425,0,0,0,Lupinus argenteus,Eriogonum umbellatum
5,-1574.9095507221425,0,0,0,Ivesia gordonii,Eriogonum umbellatum
5,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Eriogonum umbellatum
5,-1574.9095507221425,0,0,0,Heterotheca villosa,Eriogonum umbellatum
5,-1574.9095507221425,0,0,0,Lupinus argenteus,Heterotheca villosa
5,-1574.9095507221425,0,0,0,Ivesia gordonii,Heterotheca villosa
5,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Heterotheca villosa
5,-1574.9095507221425,0,0,0,Heterotheca villosa,Heterotheca villosa
6,-1574.9095507221425,0,0,0,Lupinus argenteus,Lupinus argenteus
6,-1574.9095507221425,0,0,0,Ivesia gordonii,Lupinus argenteus
6,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Lupinus argenteus
6,-1574.9095507221425,0,0,0,Heterotheca villosa,Lupinus argenteus
6,-1574.9095507221425,0,0,0,Lupinus argenteus,Ivesia gordonii
6,-1574.9095507221425,0,0,0,Ivesia gordonii,Ivesia gordonii
6,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Ivesia gordonii
6,-1574.9095507221425,0,0,0,Heterotheca villosa,Ivesia gordonii
6,-1574.9095507221425,0,0,0,Lupinus argenteus,Eriogonum umbellatum
6,-1574.9095507221425,0,0,0,Ivesia gordonii,Eriogonum umbellatum
6,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Eriogonum umbellatum
6,-1574.9095507221425,0,0,0,Heterotheca villosa,Eriogonum umbellatum
6,-1574.9095507221425,0,0,0,Lupinus argenteus,Heterotheca villosa
6,-1574.9095507221425,0,0,0,Ivesia gordonii,Heterotheca villosa
6,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Heterotheca villosa
6,-1574.9095507221425,0,0,0,Heterotheca villosa,Heterotheca villosa
7,-1574.9095507221425,0,0,0,Lupinus argenteus,Lupinus argenteus
7,-1574.9095507221425,0,0,0,Ivesia gordonii,Lupinus argenteus
7,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Lupinus argenteus
7,-1574.9095507221425,0,0,0,Heterotheca villosa,Lupinus argenteus
7,-1574.9095507221425,0,0,0,Lupinus argenteus,Ivesia gordonii
7,-1574.9095507221425,0,0,0,Ivesia gordonii,Ivesia gordonii
7,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Ivesia gordonii
7,-1574.9095507221425,0,0,0,Heterotheca villosa,Ivesia gordonii
7,-1574.9095507221425,0,0,0,Lupinus argenteus,Eriogonum umbellatum
7,-1574.9095507221425,0,0,0,Ivesia gordonii,Eriogonum umbellatum
7,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Eriogonum umbellatum
7,-1574.9095507221425,0,0,0,Heterotheca villosa,Eriogonum umbellatum
7,-1574.9095507221425,0,0,0,Lupinus argenteus,Heterotheca villosa
7,-1574.9095507221425,0,0,0,Ivesia gordonii,Heterotheca villosa
7,-1574.9095507221425,0,0,0,Eriogonum umbellatum,Heterotheca villosa
7,-1574.9095507221425,0,0,0,Heterotheca villosa,Heterotheca villosa
