iter,ll,accept,sd,l,sd_l
1,-433.9991054144403,NA,0,0,0
2,-433.9991054144403,0,0,0,0
3,-432.62974900475547,1,0.2073207172282041,-0.7699750209518548,-0.04642835173567691
4,-432.62974900475547,0,0.2073207172282041,-0.7699750209518548,-0.04642835173567691
5,-432.62974900475547,0,0.2073207172282041,-0.7699750209518548,-0.04642835173567691
6,-432.62974900475547,0,0.2073207172282041,-0.7699750209518548,-0.04642835173567691
7,-432.9739847668726,1,0.42516236690606346,-1.3887442319168337,-0.057641745999592375
8,-432.8621826004703,1,0.816230517271597,-1.3514617402342384,-0.15710933079276101
9,-432.8663756034937,1,1.0680345033884602,-0.8085770591613949,-0.19165702277760255
10,-432.9840511526085,1,0.82895947583415,-0.5996062790615437,-0.12372304520115035
11,-433.01864948638814,1,0.6123043171057588,-0.9243421024596603,-0.08738550783187779
12,-432.78803633464906,1,0.40480703545591895,-1.121487079314835,-0.09035117766743707
13,-432.7637531019268,1,0.26513389452878433,-0.2425355344094814,-0.062313873123034255
14,-433.0060894777455,1,0.6136155822311531,0.03579606492734727,-0.09675165785051025
15,-433.0060894777455,0,0.6136155822311531,0.03579606492734727,-0.09675165785051025
16,-433.0060894777455,0,0.6136155822311531,0.03579606492734727,-0.09675165785051025
17,-431.7436132119982,1,0.2159460236034672,0.008357328071557958,-0.08424459170780262
18,-431.7436132119982,0,0.2159460236034672,0.008357328071557958,-0.08424459170780262
19,-432.06841733511186,1,0.3953104715891431,0.002834588838726176,-0.13127704983873303
20,-432.2137628275592,1,0.40931155097947614,-0.3688020156024765,-0.12183743486301589
21,-432.873188847093,1,0.592282112504086,-0.2445956911661783,-0.11857302577943485
