iter,ll,accept,alpha
1,-46500.958148872836,NA,0
2,-46500.958148872836,NA,0
3,-46498.32099809045,NA,0.039893977887675014
4,-46494.67630277751,NA,0.08775240195180875
5,-46494.67630277751,NA,0.08775240195180875
6,-46493.438463157785,NA,0.1023752735246633
7,-46493.438463157785,NA,0.1023752735246633
8,-46493.438463157785,NA,0.1023752735246633
9,-46495.43506742894,NA,0.07840499605498226
10,-46496.87767873042,NA,0.05976777863872815
11,-46497.54116932016,NA,0.050791325101808664
12,-46497.63913250693,NA,0.04944331683135174
13,-46497.63913250693,NA,0.04944331683135174
14,-46495.777986790825,NA,0.07407995268429439
15,-46495.777986790825,NA,0.07407995268429439
16,-46493.85452791602,NA,0.09754404170622641
17,-46491.70260921952,NA,0.12166972699857365
18,-46489.90823961447,NA,0.14026449943541494
19,-46486.437201798595,NA,0.17283758029978555
20,-46486.437201798595,NA,0.17283758029978555
21,-46486.277487643856,NA,0.1742393654654361
22,-46481.20198698097,NA,0.21499975201130744
23,-46481.20198698097,NA,0.21499975201130744
24,-46481.420160418864,NA,0.2133856007938203
25,-46476.39076304861,NA,0.2479429534164363
26,-46476.39076304861,NA,0.2479429534164363
27,-46470.013514309314,NA,0.2850920764420377
28,-46465.47476617855,NA,0.307987348895764
29,-46461.793273455725,NA,0.3248097316224057
30,-46456.752737359726,NA,0.3457186328845478
31,-46456.752737359726,NA,0.3457186328845478
32,-46456.752737359726,NA,0.3457186328845478
33,-46447.06449216045,NA,0.3804147427990532
34,-46447.06449216045,NA,0.3804147427990532
35,-46444.56859300558,NA,0.38839886364921633
36,-46444.56859300558,NA,0.38839886364921633
37,-46444.56859300558,NA,0.38839886364921633
38,-46429.09226663435,NA,0.4313895747002474
39,-46421.20303012676,NA,0.4499368735072348
40,-46421.20303012676,NA,0.4499368735072348
41,-46421.20303012676,NA,0.4499368735072348
42,-46381.91090411944,NA,0.5219854063223781
43,-46381.91090411944,NA,0.5219854063223781
44,-46381.36216825946,NA,0.5228254710857981
45,-46376.52230542231,NA,0.5300933755115887
46,-46376.52230542231,NA,0.5300933755115887
47,-46371.38723483089,NA,0.5375457549777667
48,-46319.5850908107,NA,0.6027241050886313
49,-46312.80242576388,NA,0.6104442564032972
50,-46296.472788355255,NA,0.6287660470079689
51,-46278.757073417764,NA,0.6486901180047923
52,-46271.16210195609,NA,0.6574335050703162
53,-46271.16210195609,NA,0.6574335050703162
54,-46269.254289505596,NA,0.6596637447948661
55,-46269.254289505596,NA,0.6596637447948661
56,-46269.254289505596,NA,0.6596637447948661
57,-46269.254289505596,NA,0.6596637447948661
58,-46254.618952936034,NA,0.6774821304237187
59,-46233.741775243536,NA,0.7073917362509919
60,-46233.741775243536,NA,0.7073917362509919
61,-46223.7532557532,NA,0.7267919679658523
62,-46223.7532557532,NA,0.7267919679658523
63,-46223.645837520686,NA,0.7270430967657333
64,-46216.826750759494,NA,0.7480495062511833
65,-46216.10447953254,NA,0.7516410354898694
66,-46216.10447953254,NA,0.7516410354898694
67,-46215.09316084149,NA,0.7585116232107101
68,-46215.09316084149,NA,0.7585116232107101
69,-46215.09316084149,NA,0.7585116232107101
70,-46215.09316084149,NA,0.7585116232107101
71,-46215.09316084149,NA,0.7585116232107101
72,-46215.09316084149,NA,0.7585116232107101
73,-46215.09316084149,NA,0.7585116232107101
74,-46214.49126739107,NA,0.7700371839455005
75,-46215.19183700318,NA,0.7576615873210285
76,-46215.19183700318,NA,0.7576615873210285
77,-46215.09604314322,NA,0.7584858473964327
78,-46215.992619613455,NA,0.7522644250883737
79,-46215.992619613455,NA,0.7522644250883737
80,-46215.992619613455,NA,0.7522644250883737
81,-46215.35126221778,NA,0.7564060063497258
82,-46215.35126221778,NA,0.7564060063497258
83,-46215.35126221778,NA,0.7564060063497258
84,-46215.35126221778,NA,0.7564060063497258
85,-46215.35126221778,NA,0.7564060063497258
86,-46215.67098063399,NA,0.754199074225936
87,-46215.67098063399,NA,0.754199074225936
88,-46215.67098063399,NA,0.754199074225936
89,-46215.67098063399,NA,0.754199074225936
90,-46214.49207017962,NA,0.7701439600049131
91,-46214.49207017962,NA,0.7701439600049131
92,-46214.49207017962,NA,0.7701439600049131
93,-46214.49207017962,NA,0.7701439600049131
94,-46214.49207017962,NA,0.7701439600049131
95,-46214.49207017962,NA,0.7701439600049131
96,-46214.49207017962,NA,0.7701439600049131
97,-46214.49207017962,NA,0.7701439600049131
98,-46214.49207017962,NA,0.7701439600049131
99,-46214.49207017962,NA,0.7701439600049131
100,-46214.49766650142,NA,0.7706658285957106
101,-46214.49766650142,NA,0.7706658285957106
102,-46214.49766650142,NA,0.7706658285957106
103,-46214.50172160895,NA,0.7677700809128212
104,-46214.50172160895,NA,0.7677700809128212
105,-46214.91889761862,NA,0.7602045860710928
106,-46214.91889761862,NA,0.7602045860710928
107,-46214.95502853561,NA,0.7598287056612213
108,-46214.95502853561,NA,0.7598287056612213
109,-46214.95502853561,NA,0.7598287056612213
110,-46214.95502853561,NA,0.7598287056612213
111,-46214.95502853561,NA,0.7598287056612213
112,-46214.95502853561,NA,0.7598287056612213
113,-46215.94868074526,NA,0.7864020568782493
114,-46215.305287469404,NA,0.7820700688196227
115,-46215.305287469404,NA,0.7820700688196227
116,-46215.305287469404,NA,0.7820700688196227
117,-46214.65741046288,NA,0.7636215606957321
118,-46214.65741046288,NA,0.7636215606957321
119,-46214.65741046288,NA,0.7636215606957321
120,-46214.65741046288,NA,0.7636215606957321
121,-46214.65741046288,NA,0.7636215606957321
122,-46214.65741046288,NA,0.7636215606957321
123,-46214.65741046288,NA,0.7636215606957321
124,-46214.65741046288,NA,0.7636215606957321
125,-46214.85521844535,NA,0.7609078769685023
126,-46214.85521844535,NA,0.7609078769685023
127,-46214.85521844535,NA,0.7609078769685023
128,-46214.85521844535,NA,0.7609078769685023
129,-46214.55499327847,NA,0.7657615359752196
130,-46214.55499327847,NA,0.7657615359752196
131,-46214.55499327847,NA,0.7657615359752196
132,-46214.55499327847,NA,0.7657615359752196
133,-46214.536939762715,NA,0.7662906323679576
134,-46214.92678940742,NA,0.7786498737374831
135,-46214.92678940742,NA,0.7786498737374831
136,-46214.92678940742,NA,0.7786498737374831
137,-46214.92678940742,NA,0.7786498737374831
138,-46214.92678940742,NA,0.7786498737374831
139,-46214.50309013569,NA,0.7676878198309663
140,-46214.50309013569,NA,0.7676878198309663
141,-46214.50309013569,NA,0.7676878198309663
142,-46214.71220791426,NA,0.7627565448778764
143,-46214.71220791426,NA,0.7627565448778764
144,-46214.71220791426,NA,0.7627565448778764
145,-46214.71220791426,NA,0.7627565448778764
146,-46215.7836748846,NA,0.7534943278011079
147,-46214.95289302637,NA,0.7789242767089887
148,-46214.832410475894,NA,0.7775830026021693
149,-46214.819436996804,NA,0.7613301917391359
150,-46214.819436996804,NA,0.7613301917391359
151,-46214.819436996804,NA,0.7613301917391359
152,-46214.819436996804,NA,0.7613301917391359
153,-46214.819436996804,NA,0.7613301917391359
154,-46214.51162786582,NA,0.7672459949013203
155,-46214.51162786582,NA,0.7672459949013203
156,-46214.51162786582,NA,0.7672459949013203
157,-46214.51162786582,NA,0.7672459949013203
158,-46214.56679814063,NA,0.7654542966200419
159,-46214.56679814063,NA,0.7654542966200419
160,-46214.56679814063,NA,0.7654542966200419
161,-46214.88076114403,NA,0.7606189414348715
162,-46214.88076114403,NA,0.7606189414348715
163,-46214.88076114403,NA,0.7606189414348715
164,-46214.88076114403,NA,0.7606189414348715
165,-46214.88076114403,NA,0.7606189414348715
166,-46214.88076114403,NA,0.7606189414348715
167,-46215.20244892087,NA,0.7575738380059197
168,-46215.20244892087,NA,0.7575738380059197
169,-46214.533207122215,NA,0.7723028591838315
170,-46214.49265304531,NA,0.7702132147934443
171,-46214.49265304531,NA,0.7702132147934443
172,-46214.49265304531,NA,0.7702132147934443
173,-46214.49265304531,NA,0.7702132147934443
174,-46215.22872367041,NA,0.781454946996804
175,-46215.22872367041,NA,0.781454946996804
176,-46214.489801945776,NA,0.7697778315452526
177,-46214.489801945776,NA,0.7697778315452526
178,-46214.489801945776,NA,0.7697778315452526
179,-46214.489801945776,NA,0.7697778315452526
180,-46214.489801945776,NA,0.7697778315452526
181,-46214.489801945776,NA,0.7697778315452526
182,-46214.765720981624,NA,0.7620098540516891
183,-46216.684350758376,NA,0.7487083099207713
184,-46216.684350758376,NA,0.7487083099207713
185,-46214.50964494497,NA,0.7673399360029167
186,-46214.50964494497,NA,0.7673399360029167
187,-46215.108781706964,NA,0.7583726565999969
188,-46215.108781706964,NA,0.7583726565999969
189,-46215.108781706964,NA,0.7583726565999969
190,-46215.108781706964,NA,0.7583726565999969
191,-46214.488938731905,NA,0.7694564297119276
192,-46214.488938731905,NA,0.7694564297119276
193,-46214.488938731905,NA,0.7694564297119276
194,-46214.488938731905,NA,0.7694564297119276
195,-46214.488938731905,NA,0.7694564297119276
196,-46214.488938731905,NA,0.7694564297119276
197,-46214.69341056173,NA,0.7630398511670383
198,-46214.69341056173,NA,0.7630398511670383
199,-46214.69341056173,NA,0.7630398511670383
200,-46214.69341056173,NA,0.7630398511670383
201,-46214.718206884594,NA,0.7626686680735261
202,-46216.51495383406,NA,0.7894788791462914
203,-46216.51495383406,NA,0.7894788791462914
204,-46214.86532906417,NA,0.7779699159576405
205,-46214.86532906417,NA,0.7779699159576405
206,-46215.1126212812,NA,0.780458887965218
207,-46214.56847806743,NA,0.773307279463425
208,-46214.56847806743,NA,0.773307279463425
209,-46216.541891941415,NA,0.7493889964264582
210,-46216.541891941415,NA,0.7493889964264582
211,-46214.96447629261,NA,0.7597328501363488
212,-46214.96447629261,NA,0.7597328501363488
213,-46214.96447629261,NA,0.7597328501363488
214,-46214.96447629261,NA,0.7597328501363488
215,-46214.548303329095,NA,0.7727689498124387
216,-46214.548303329095,NA,0.7727689498124387
217,-46214.548303329095,NA,0.7727689498124387
218,-46214.548303329095,NA,0.7727689498124387
219,-46214.548303329095,NA,0.7727689498124387
220,-46214.85785899622,NA,0.7778836339408781
221,-46214.85785899622,NA,0.7778836339408781
222,-46214.497311574836,NA,0.768070603501285
223,-46214.82604588148,NA,0.7775061065509142
224,-46214.82604588148,NA,0.7775061065509142
225,-46214.82604588148,NA,0.7775061065509142
226,-46214.82604588148,NA,0.7775061065509142
227,-46214.51123282224,NA,0.7714472542802554
228,-46214.51123282224,NA,0.7714472542802554
229,-46214.51123282224,NA,0.7714472542802554
230,-46214.944182457104,NA,0.7788335795863474
231,-46214.56595723649,NA,0.7732440705448014
232,-46214.56595723649,NA,0.7732440705448014
233,-46215.14210759314,NA,0.7807199508943155
234,-46215.14210759314,NA,0.7807199508943155
235,-46214.9339513626,NA,0.7787259476719902
236,-46214.9339513626,NA,0.7787259476719902
237,-46214.9339513626,NA,0.7787259476719902
238,-46214.9339513626,NA,0.7787259476719902
239,-46214.74658997905,NA,0.7764775505732117
240,-46214.5195980488,NA,0.7718082745265021
241,-46214.5195980488,NA,0.7718082745265021
242,-46214.5195980488,NA,0.7718082745265021
243,-46214.5195980488,NA,0.7718082745265021
244,-46215.04960475317,NA,0.7589089093656765
245,-46215.04960475317,NA,0.7589089093656765
246,-46214.985757259594,NA,0.7792591146823574
247,-46214.6751526531,NA,0.7633278215023113
248,-46214.6751526531,NA,0.7633278215023113
249,-46214.53008195991,NA,0.7665174400980852
250,-46214.53008195991,NA,0.7665174400980852
251,-46214.53008195991,NA,0.7665174400980852
252,-46214.53764772091,NA,0.766268169671617
253,-46214.53764772091,NA,0.766268169671617
254,-46214.53764772091,NA,0.766268169671617
255,-46214.73853799948,NA,0.7623791091634896
256,-46214.73853799948,NA,0.7623791091634896
257,-46214.73853799948,NA,0.7623791091634896
258,-46214.73853799948,NA,0.7623791091634896
259,-46214.73853799948,NA,0.7623791091634896
260,-46214.54676804447,NA,0.7727244820264733
261,-46214.54676804447,NA,0.7727244820264733
262,-46214.54676804447,NA,0.7727244820264733
263,-46214.49750842173,NA,0.7706539631015282
264,-46215.04668309007,NA,0.7798521089469372
265,-46215.04668309007,NA,0.7798521089469372
266,-46215.04668309007,NA,0.7798521089469372
267,-46215.04668309007,NA,0.7798521089469372
268,-46215.04668309007,NA,0.7798521089469372
269,-46215.04668309007,NA,0.7798521089469372
270,-46214.78474203652,NA,0.7617621898387844
271,-46214.78474203652,NA,0.7617621898387844
272,-46214.78474203652,NA,0.7617621898387844
273,-46214.78474203652,NA,0.7617621898387844
274,-46214.78474203652,NA,0.7617621898387844
275,-46214.95914119452,NA,0.7789888172179955
276,-46214.95914119452,NA,0.7789888172179955
